Trying 192.168.1.177...
Connected to 192.168.1.177.
Escape character is '^]'.
527 Temperature: 71.80
528 Humidity: 50.21
529 Temperature: 71.80
530 Humidity: 50.21
531 Temperature: 71.82
532 Humidity: 50.21
533 Temperature: 71.84
534 Humidity: 50.21
535 Temperature: 71.82
536 Humidity: 50.21
537 Temperature: 71.84
538 Humidity: 50.21
539 Temperature: 71.84
540 Humidity: 50.21
541 Temperature: 71.86
542 Humidity: 50.21
543 Temperature: 71.86
544 Humidity: 50.21
545 Temperature: 71.86
546 Humidity: 50.21
547 Temperature: 71.86
548 Humidity: 50.23
549 Temperature: 71.88
550 Humidity: 50.23
551 Temperature: 71.88
552 Humidity: 50.23
553 Temperature: 71.90
554 Humidity: 50.23
555 Temperature: 71.90
556 Humidity: 50.23
557 Temperature: 71.90
558 Humidity: 50.23
559 Temperature: 71.90
560 Humidity: 50.23
561 Temperature: 71.92
562 Humidity: 50.23
563 Temperature: 71.92
564 Humidity: 50.27
565 Temperature: 71.92
566 Humidity: 50.27
567 Temperature: 71.94
568 Humidity: 50.27
569 Temperature: 71.94
570 Humidity: 50.27
571 Temperature: 71.94
572 Humidity: 50.30
573 Temperature: 71.94
574 Humidity: 50.30
575 Temperature: 71.96
576 Humidity: 50.30
577 Temperature: 71.96
578 Humidity: 50.27
579 Temperature: 71.96
580 Humidity: 50.23
581 Temperature: 71.98
582 Humidity: 50.20
583 Temperature: 71.98
584 Humidity: 50.13
585 Temperature: 71.98
586 Humidity: 50.09
587 Temperature: 72.00
588 Humidity: 50.06
589 Temperature: 72.00
590 Humidity: 49.99
591 Temperature: 72.00
592 Humidity: 49.89
593 Temperature: 72.00
594 Humidity: 49.82
595 Temperature: 72.00
596 Humidity: 49.75
597 Temperature: 72.00
598 Humidity: 49.75
599 Temperature: 72.01
600 Humidity: 49.75
601 Temperature: 72.00
602 Humidity: 49.75
603 Temperature: 72.01
604 Humidity: 49.75
605 Temperature: 72.01
606 Humidity: 49.79
607 Temperature: 72.01
